,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log
0,LP001015,2.0,1.0,3.0,1,2.0,5720,0.0,110.0,360.0,1.0,2,1.0,4.700480365792417,5720.0,8.651724084373843
1,LP001022,2.0,1.0,3.0,1,2.0,3076,1500.0,126.0,360.0,1.0,2,1.0,4.836281906951478,4576.0,8.428580533059634
2,LP001031,2.0,1.0,3.0,1,2.0,5000,1800.0,208.0,360.0,1.0,2,1.0,5.337538079701318,6800.0,8.824677891164198
3,LP001035,2.0,1.0,3.0,1,2.0,2340,2546.0,100.0,360.0,1.0,2,1.0,4.605170185988092,4886.0,8.494129251817686
4,LP001051,2.0,2.0,3.0,2,2.0,3276,0.0,78.0,360.0,1.0,2,1.0,4.356708826689592,3276.0,8.09437844497296
5,LP001054,2.0,1.0,3.0,2,1.0,2165,3422.0,152.0,360.0,1.0,2,1.0,5.0238805208462765,5587.0,8.628197749459149
6,LP001055,1.0,2.0,3.0,2,2.0,2226,0.0,59.0,360.0,1.0,3,1.0,4.07753744390572,2226.0,7.70796153183549
7,LP001056,2.0,1.0,3.0,2,2.0,3881,0.0,147.0,360.0,0.0,1,1.0,4.990432586778736,3881.0,8.263848131368906
8,LP001059,2.0,1.0,3.0,1,2.0,13633,0.0,280.0,240.0,1.0,2,1.0,5.634789603169249,13633.0,9.520248603186129
9,LP001067,2.0,2.0,3.0,2,2.0,2400,2400.0,123.0,360.0,1.0,3,1.0,4.812184355372417,4800.0,8.476371196895983
10,LP001078,2.0,2.0,3.0,2,2.0,3091,0.0,90.0,360.0,1.0,2,1.0,4.499809670330265,3091.0,8.036249942132116
11,LP001082,2.0,1.0,3.0,1,2.0,2185,1516.0,162.0,360.0,1.0,3,1.0,5.087596335232384,3701.0,8.216358332386156
12,LP001083,2.0,2.0,3.0,1,2.0,4166,0.0,40.0,180.0,1.0,2,1.0,3.6888794541139363,4166.0,8.334711621820917
13,LP001094,2.0,1.0,3.0,1,2.0,12173,0.0,166.0,360.0,0.0,3,1.0,5.111987788356544,12173.0,9.406975663409597
14,LP001096,1.0,2.0,3.0,1,2.0,4666,0.0,124.0,360.0,1.0,3,1.0,4.820281565605037,4666.0,8.448057452581375
15,LP001099,2.0,2.0,3.0,1,2.0,5667,0.0,131.0,360.0,1.0,2,1.0,4.875197323201151,5667.0,8.64241515616962
16,LP001105,2.0,1.0,3.0,1,2.0,4583,2916.0,200.0,360.0,1.0,2,1.0,5.298317366548036,7499.0,8.92252495730139
17,LP001107,2.0,1.0,3.0,1,2.0,3786,333.0,126.0,360.0,1.0,3,1.0,4.836281906951478,4119.0,8.323365694436081
18,LP001108,2.0,1.0,3.0,1,2.0,9226,7916.0,300.0,360.0,1.0,2,1.0,5.703782474656201,17142.0,9.749286871458828
19,LP001115,2.0,2.0,3.0,1,2.0,1300,3470.0,100.0,180.0,1.0,3,1.0,4.605170185988092,4770.0,8.470101583882387
20,LP001121,2.0,1.0,3.0,2,2.0,1888,1620.0,48.0,360.0,1.0,2,1.0,3.871201010907891,3508.0,8.162801353492073
21,LP001124,1.0,2.0,3.0,2,2.0,2083,0.0,28.0,180.0,1.0,2,1.0,3.332204510175204,2083.0,7.641564441260972
22,LP001128,2.0,2.0,3.0,1,2.0,3909,0.0,101.0,360.0,1.0,2,1.0,4.61512051684126,3909.0,8.271036865792954
23,LP001135,1.0,2.0,3.0,2,2.0,3765,0.0,125.0,360.0,1.0,2,1.0,4.8283137373023015,3765.0,8.233503140233994
24,LP001149,2.0,1.0,3.0,1,2.0,5400,4380.0,290.0,360.0,1.0,2,1.0,5.66988092298052,9780.0,9.188094763028863
